"years","index"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,-0.107516339869281
42,-0.15
43,-0.0307189542483658
44,0.0315359477124185
45,0.0599128540305013
46,0.0432461873638346
47,0.024455337690632
48,-0.0184095860566446
49,0.048856209150327
50,0.113997821350763
51,0.15
52,0.0767429193899784
53,0.105882352941177
54,0.0434640522875819
55,0.0279411764705885
56,0.140577342047931
57,0.125490196078431
58,-0.0151416122004355
59,-0.0537581699346403
60,-0.0135076252723309
61,0.00348583877995665
62,0.0415577342047933
63,0.0809368191721138
64,0.0245642701525057
65,0.0618736383442268
66,0.0175925925925928
67,0.0390522875816996
68,0.0582244008714599
69,0.018736383442266
70,0.0322440087145972
71,0.0336601307189545
72,0.0942265795206974
73,0.082843137254902
74,0.083877995642702
75,0.0309912854030504
76,0.101960784313726
77,0.0174291938997824
78,0.00544662309368216
79,0.00555555555555579
80,0.0019063180827889
81,-0.00996732026143771
82,-0.0448801742919387
83,0.022657952069717
84,-0.071078431372549
85,-0.0323529411764704
86,0.0064814814814817
87,-0.056263616557734
88,-0.0666122004357294
89,0.0115468409586059
90,0.042538126361656
91,0.0624727668845318
92,0.0674836601307192
93,-0.0392156862745096
94,-0.0571350762527231
95,0.0413943355119828
96,-0.0144335511982568
97,-0.0333877995642699
98,-0.0734749455337686
99,0.0359477124183009
100,0.122984749455338
101,0.0803921568627451
102,0.0802832244008719
103,0.0386710239651419
104,-0.0144335511982568
105,0.0296296296296299
106,0.0247276688453162
107,0.03681917211329
108,0.0573529411764708
109,0.120697167755992
110,0.0773965141612203
111,0.0815359477124183
112,0.131590413943356
113,0.114651416122005
114,0.0858387799564275
115,-0.0254901960784312
116,-0.0552287581699344
117,-0.0298474945533767
118,0.0131263616557737
119,0.0360566448801745
120,0.0153594771241832
