"years","index"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0.00134661354581667
27,0.0190677290836653
28,0.0157370517928286
29,0.0160398406374502
30,0.000565737051792768
31,0.0213306772908365
32,-0.00340239043824707
33,-0.0069083665338646
34,-0.00687649402390444
35,-0.00794422310756978
36,-0.0114183266932272
37,-0.0216334661354582
38,-0.00187250996015942
39,-0.0292988047808766
40,-0.0179681274900399
41,-0.00660557768924309
42,-0.0249641434262949
43,-0.02799203187251
44,-0.00512350597609568
45,0.00394422310756967
46,0.00977689243027883
47,0.0112430278884461
48,-0.0199760956175299
49,-0.0252191235059761
50,0.00360956175298799
51,-0.0127250996015937
52,-0.0182709163346614
53,-0.03
54,0.00201593625498001
55,0.0274820717131473
56,0.015019920318725
57,0.0149880478087649
58,0.002812749003984
59,-0.0127250996015937
60,0.000167330677290783
61,-0.00126693227091638
62,0.0022709163346613
63,0.00827888446215133
64,0.026812749003984
65,0.0141434262948207
66,0.0153545816733066
67,0.03
68,0.0250438247011952
69,0.0166135458167331
70,-0.0159601593625499
71,-0.0246613545816734
72,-0.0172350597609562
73,-0.00466135458167336
74,0.00204780876494018
75,-0.00400796812749011
